Item Name,Category,desc,qty,weight,unit,url,price,worn,consumable
Rucksack KS60,3 4 3 (Zelt / Schlafen / Rucksack),Custom 60 l mit 3D Mesh ,1,620,gram,https://www.ks-ultralightgear.com/p/je-vous-propose-un-modele-de-sac-dos.html,200,,
Regenhülle Hammock Gear,3 4 3 (Zelt / Schlafen / Rucksack),Large 50-70L Copper Brown 20d Silpoly,1,61,gram,https://hammockgear.com/backpack-cover/,43,,
Zelt,3 4 3 (Zelt / Schlafen / Rucksack),** Tarptent Notch Li,1,564,gram,https://www.tarptent.com/product/notch-li/,0,,
Packbeutel Heringe,3 4 3 (Zelt / Schlafen / Rucksack),OUTDOORLINE Stake bag TX50 Ultra,1,7,gram,https://www.outdoorline.sk/en/kemping/stake-bag-tx50-ultra?search_query=OUTDOORLINE+Stake+bag+TX50+Ultra&results=1,15,,
X-Mid Heringsset TGOC2025,3 4 3 (Zelt / Schlafen / Rucksack),14 TOTAL 4 x Shepherd 8 x Easton 2 x MSR Groundhog Mini,1,157,gram,,0,,
Quilt 0°,3 4 3 (Zelt / Schlafen / Rucksack),NeveGear Feathertail - Wide 6’ - 390 g - 950 FP,1,570,gram,https://nevegear.com.au/products/feathertail,265,,
Isomatte breit,3 4 3 (Zelt / Schlafen / Rucksack),** Therm-A-Rest NeoAir XLite Isomatte,1,450,gram,https://cascadedesigns.com/de-eu/products/neoair-xlite-nxt-sleeping-pad?variant=41317184667782,0,,
Packbeutel Exped,3 4 3 (Zelt / Schlafen / Rucksack), Schnozzel Bag S für den Schlafsack 60 × 20 x 17 cm,1,44,gram,https://www.exped.com/de/produkte/zubehoer/schnozzel-pumpbag-ul-0,0,,
Eva Isomatte,3 4 3 (Zelt / Schlafen / Rucksack), 200x50x0.3 cm nahleko EVA karimatka ,1,108,gram,https://www.nalehko.com/produkt/eva-karimatka-200x50x03-cm/,32,,
HOOD Kissen 28 x 37 cm,3 4 3 (Zelt / Schlafen / Rucksack), COCOON Air Core Hood Camp Pillow | 5 g Packsack inkl.,1,114,gram,https://www.cocoon.at/produkte/air-core-hoodcamp-pillow-8072a2583599d8bb8e5e377acd89f08a,28,,
Luftpumpe,3 4 3 (Zelt / Schlafen / Rucksack),HOAMC Atomic Pump inkl. Adapter und Akku,1,68,gram,https://hoamcgear.com/products/atomic-pump,17,,
Smartphone,Am Körper getragen,Google Pixel 6a ,1,179,gram,https://store.google.com/de/product/pixel_6a?hl=de,0,Worn,
Schirmmütze,Am Körper getragen,Decathlon 500,1,69,gram,https://www.decathlon.de/p/schirmmutze-cap-travel-500/_/R-p-4961,0,Worn,
Weste,Am Körper getragen,Berghaus Extrem MTN Arete LB Synthetic Vest,1,139,gram,https://ultralightoutdoorgear.co.uk/extrem-mtn-arete-lb-synthetic-vest/,0,Worn,
Hoody Kapuzenjacke,Am Körper getragen,Mammut Aenergy Light ML Hooded Jacket Power Grid Fleece,1,221,gram,https://www.mammut.com/de/de/products/1014-03800/aenergy-light-ml-hooded-jacket-men,76,Worn,
T-Shirt,Am Körper getragen,super.natural,1,136,gram,https://www.bergzeit.de/p/supernatural-herren-base-140-v-neck-t-shirt/1023861/,0,Worn,
Trekkingstöcke,Am Körper getragen,Leki Makalu,1,509,gram,https://www.globetrotter.de/leki-trekkingstoecke-makalu-retro-1208754/,0,Worn,
Lange Hose,Am Körper getragen,Odlo Tension Mit NOBITE einsprühen!,1,400,gram,https://www.outdoor-magazin.com/wanderausruestung/testbericht-odlo-tension/,0,Worn,
Unterhose,Am Körper getragen,super.natural,1,93,gram,https://supernatural-merino.com/M-BASE-MID-BOXER-175/SNM003860U67S,0,Worn,
Socken,Am Körper getragen,BRIDGEDALE Ultralight Merino,1,53,gram,https://www.bergfreunde.de/bridgedale-hike-ultralight-merino-performance-wandersocken/,0,Worn,
Schuhe,Am Körper getragen, Inov8 Rockfly G 390,1,892,gram,https://www.inov-8.com/eu/rocfly-g-390-mens-lightweight-hiking-boot?colours=622,97,Worn,
Regenjacke,Regensachen,2025 Columbia OutDry Extreme Wyldwood L,1,407,gram,https://www.sportpursuit.com/catalog/product/view/id/4132166,135,,
Überziehhandschuhe,Regensachen,Decathlon Trek 500,1,51,gram,https://www.decathlon.de/p/uberziehhandschuhe-bergtrekking-trek-500-wasserdicht-erwachsene-schwarz/_/R-p-158553,0,,
Regenhose,Regensachen,Montane Atomic Outdoor Pants  Reg Large,1,229,gram,https://www.bergfreunde.de/montane-atomic-pants-regenhose/,75,,
Exped Packsack,Regensachen,Packbeutel Cord UL S Drypack,1,15,gram,https://www.exped.com/de/produkte/packsaecke/cord-drybag-ul,0,,
Badelatschen,Regensachen,Jet-Tong Mule L,1,54,gram,https://en.aventurenordique.com/flip-flops-jet-tong-mule.html,2.2,,
Balaclava,Bekleidung nachts,Enlightened Equipment Torrid Hood L Apex 133,1,66,gram,https://hikerhaus.de/products/enlightened-equipment-torrid-hood?variant=50199459201288,80,,
Alpha 60 Hoody,Bekleidung nachts,Nahleko in L,1,109,gram,https://www.nalehko.com/produkt/panska-mikina-nalehko-alpha-hoody-60/,80,,
Windhose,Bekleidung nachts,Raidlight Tyvek Windbreaker Pants Weiß Unisex XL,1,84,gram,https://raidlight.com/en/products/pantalon-tyvek?srsltid=AfmBOooKWYpbGzyrLJnwycaV1tw6YH7jfvoVWI432PJmyxD_wWBpdMOi,17,,
Socke,Bekleidung nachts,Falke TK2 blau,1,68,gram,https://www.falke.com/de_de/p/tk2-explore-herren-trekking-socken/16474_6416/,22,,
Mütze Decathlon dunkelblau,Ersatzkleidung und Wärme,,1,36,gram,https://www.decathlon.de/p/mutze-merinowolle-mt500/_/R-p-302969,15,,
Mückennetz,Ersatzkleidung und Wärme,Smidge Midge Proof Headnet,1,22,gram,https://www.smidgeup.com/smidge-shop/midge-proof-headnet/,7,,
Isolationsjacke Puffy,Ersatzkleidung und Wärme,* Arc'teryx Nuclei FL Kunstfaserjacke L,1,315,gram,https://www.bergfreunde.de/arcteryx-nuclei-fl-jacket-kunstfaserjacke/,150,,
Armlinge,Ersatzkleidung und Wärme,** Stoic Merino Armwarmers,1,62,gram,https://www.bergfreunde.de/stoic-merino-armwarmers-armlinge/,10,,
Handschuhe,Ersatzkleidung und Wärme,** BD Deploy Gloves XL,1,42,gram,https://eu.blackdiamondequipment.com/de/products/deploy-gloves,11,,
T-Shirt,Ersatzkleidung und Wärme,OMM - Nitro Tee S/S 100% Polyamid,1,62,gram,https://theomm.de/product/nitro-tee-s-s/,24,,
Unterhose,Ersatzkleidung und Wärme,UNIQLO AIRISM ,2,50,gram,https://www.uniqlo.com/de/de/product/airism-unterhose-451708.html,0,,
Linersocken ,Ersatzkleidung und Wärme,SMARTWOOL PhD Run Ultralight Socken,1,34,gram,https://www.sportpursuit.com/catalog/product/view/id/2418706,9,,
Packbeutel Dyneema Dcf S,Ersatzkleidung und Wärme,Alpin Loacker 8l 40*21*10 cm 26g/m2 ,1,16,gram,https://alpinloacker.com/products/alpin-loacker-dyneema-drybag-ultra-leicht-robust-wasserdicht-made-in-vorarlberg?variant=40165929091181,0,,
Personalausweis,Büro / Dokumente,,0,5,gram,,0,,
DAV Ausweis(e),Büro / Dokumente,,1,1,gram,,0,,
